%
% ARFF data file, generated by KNIME
%
% Date: Mon May 09 22:37:07 CEST 2011
% User: salco
%

@RELATION DataTable
@ATTRIBUTE id	INTEGER
@ATTRIBUTE pub	{1,0}
@ATTRIBUTE mod	{0,1}
@ATTRIBUTE year	{1}
@ATTRIBUTE month	{1}
@ATTRIBUTE day	{1}
@ATTRIBUTE hour	{0,1}
@ATTRIBUTE minute	{0,1}
@ATTRIBUTE second	{0,1}
@ATTRIBUTE relDocPos	REAL
@ATTRIBUTE ordDocPos	REAL
@ATTRIBUTE ordAgePos	REAL
@ATTRIBUTE keyClass	{0,2,3,1}
@ATTRIBUTE keyLoc	{0,2,1}
@ATTRIBUTE keyDiff	REAL
@ATTRIBUTE simpleTag	{0,1}
@ATTRIBUTE hTag	{0,1}
@ATTRIBUTE tagName	{SPAN,STRONG,P,EM,LI,H5,FONT,DIV,H2,A,B,I,CENTER,OPTION,SMALL,TD,TITLE,H3,ADDRESS,BODY,ABBR,NOBR,EDITDATE,CITE,H6,PRE,H4,CODE,H1,DD,BLOCKQUOTE,DT,TIME,HTML:ABBR,PAUSING,DL,U}
@ATTRIBUTE hasStructureDate	{0,1}
@ATTRIBUTE inMetaDates	{0,1}
@ATTRIBUTE inUrl	{0,1}
@ATTRIBUTE relCntSame	REAL
@ATTRIBUTE relSize	REAL
@ATTRIBUTE distPosBefore	INTEGER
@ATTRIBUTE distPosAfter	INTEGER
@ATTRIBUTE distAgeBefore	INTEGER
@ATTRIBUTE distAgeAfter	INTEGER
@ATTRIBUTE format	{'MMMM DD, YYYY','MMMM DD, YYYY YYYY HH:MM:SS +UTC',MM/DD/YYYY,'DD. MMMM YYYY',DD.MM.YYYY,YYYY-MM-DD,YYYY_MM_DD,YYYYMMDD,'MM/DD/YYYY HH:MM:SS +UTC','DD. MMMM YYYY HH:MM:SS +UTC','DD.MM.YYYY HH:MM:SS +UTC',MMMM-DD-YYYY,YYYY-MM-DDTHH:MM:SS+HH:MM,YYYY-DDD,'WD, DD MMM YYYY HH:MM:SS +UTC',YYYY-MMM-D,'WD MMM DD_1 HH:MM:SS YYYY',YYYYDDD}
@ATTRIBUTE keyword	{null,updated,date,created,posted,published,release,update,added,released,'last modified',create,publish,pubdate,pdate,revised,date-header,revise,datetime,geschrieben}
@ATTRIBUTE excatness	{3,5,6,4}
@ATTRIBUTE keyLoc201	{0,1}
@ATTRIBUTE keyLoc202	{0,1}
@ATTRIBUTE isKeyClass1	{0,1}
@ATTRIBUTE isKeyClass2	{0,1}
@ATTRIBUTE isKeyClass3	{0,1}

@DATA
19521,0,0,1,1,1,1,1,0,0.697,0.36,0.56,0,0,0.0,0,0,SPAN,0,0,0,0.12,0.04,156,202,0,-1,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0,0,0,0,0
19522,0,0,1,1,1,1,1,0,0.713,0.4,0.68,0,0,0.0,0,0,SPAN,0,0,0,0.12,0.04,202,205,0,-1,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0,0,0,0,0
19523,0,0,1,1,1,1,1,0,0.729,0.44,0.8,0,0,0.0,0,0,SPAN,0,0,0,0.12,0.04,205,600,0,-1,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0,0,0,0,0
19524,0,0,1,1,1,1,1,0,0.776,0.48,0.24,0,0,0.0,0,0,SPAN,0,0,0,0.12,0.04,600,166,0,-1,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0,0,0,0,0
19525,0,0,1,1,1,1,1,0,0.789,0.52,0.36,0,0,0.0,0,0,SPAN,0,0,0,0.12,0.04,166,195,0,-1,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0,0,0,0,0
19526,0,0,1,1,1,1,1,0,0.804,0.56,0.48,0,0,0.0,0,0,SPAN,0,0,0,0.12,0.04,195,156,0,-1,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0,0,0,0,0
19527,0,0,1,1,1,1,1,0,0.817,0.6,0.6,0,0,0.0,0,0,SPAN,0,0,0,0.12,0.04,156,202,0,-1,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0,0,0,0,0
19528,0,0,1,1,1,1,1,0,0.832,0.64,0.72,0,0,0.0,0,0,SPAN,0,0,0,0.12,0.04,202,205,0,-1,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0,0,0,0,0
19529,0,0,1,1,1,1,1,0,0.849,0.68,0.84,0,0,0.0,0,0,SPAN,0,0,0,0.12,0.04,205,216,0,-1,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0,0,0,0,0
19530,0,0,1,1,1,1,1,0,0.865,0.72,0.92,0,0,0.0,0,0,SPAN,0,0,0,0.08,0.04,216,97,0,-1,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0,0,0,0,0
19531,0,0,1,1,1,1,1,0,0.873,0.76,0.28,0,0,0.0,0,0,SPAN,0,0,0,0.12,0.04,97,166,168,-1,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0,0,0,0,0
19532,0,0,1,1,1,1,1,0,0.886,0.8,0.4,0,0,0.0,0,0,SPAN,0,0,0,0.12,0.04,166,195,169,-1,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0,0,0,0,0
19533,0,0,1,1,1,1,1,0,0.901,0.84,0.52,0,0,0.0,0,0,SPAN,0,0,0,0.12,0.04,195,156,504,-1,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0,0,0,0,0
19534,0,0,1,1,1,1,1,0,0.914,0.88,0.64,0,0,0.0,0,0,SPAN,0,0,0,0.12,0.04,156,202,165,-1,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0,0,0,0,0
19535,0,0,1,1,1,1,1,0,0.929,0.92,0.76,0,0,0.0,0,0,SPAN,0,0,0,0.12,0.04,202,205,172,-1,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0,0,0,0,0
