%
% ARFF data file, generated by KNIME
%
% Date: Mon May 30 21:47:33 CEST 2011
% User: salco
%

@RELATION DataTable
@ATTRIBUTE id	INTEGER
@ATTRIBUTE url	STRING
@ATTRIBUTE pub	{1,0}
@ATTRIBUTE mod	{0,1}
@ATTRIBUTE year	{1.0}
@ATTRIBUTE month	{1.0}
@ATTRIBUTE day	{1.0}
@ATTRIBUTE hour	{0.0,1.0}
@ATTRIBUTE minute	{0.0,1.0}
@ATTRIBUTE second	{0.0,1.0}
@ATTRIBUTE relDocPos	REAL
@ATTRIBUTE ordDocPos	REAL
@ATTRIBUTE ordAgePos	REAL
@ATTRIBUTE keyClass	{0,2,3,1}
@ATTRIBUTE keyLoc	{0,2,1}
@ATTRIBUTE keyDiff	REAL
@ATTRIBUTE simpleTag	{0.0,1.0}
@ATTRIBUTE hTag	{0.0,1.0}
@ATTRIBUTE tagName	{SPAN,STRONG,P,EM,LI,H5,FONT,DIV,H2,A,B,I,CENTER,OPTION,SMALL,TD,TITLE,H3,ADDRESS,BODY,ABBR,NOBR,EDITDATE,CITE,H6,PRE,H4,CODE,H1,DD,BLOCKQUOTE,DT,TIME,HTML:ABBR,PAUSING,DL,U}
@ATTRIBUTE hasStructureDate	{0.0,1.0}
@ATTRIBUTE inMetaDates	{0.0,1.0}
@ATTRIBUTE inUrl	{0.0,1.0}
@ATTRIBUTE relCntSame	REAL
@ATTRIBUTE relSize	REAL
@ATTRIBUTE distPosBefore	INTEGER
@ATTRIBUTE distPosAfter	INTEGER
@ATTRIBUTE distAgeBefore	INTEGER
@ATTRIBUTE distAgeAfter	INTEGER
@ATTRIBUTE format	{'MMMM DD, YYYY','MMMM DD, YYYY YYYY HH:MM:SS +UTC',MM/DD/YYYY,'DD. MMMM YYYY',DD.MM.YYYY,YYYY-MM-DD,YYYY_MM_DD,YYYYMMDD,'MM/DD/YYYY HH:MM:SS +UTC','DD. MMMM YYYY HH:MM:SS +UTC','DD.MM.YYYY HH:MM:SS +UTC',MMMM-DD-YYYY,YYYY-MM-DDTHH:MM:SS+HH:MM,YYYY-DDD,'WD, DD MMM YYYY HH:MM:SS +UTC',YYYY-MMM-D,'WD MMM DD_1 HH:MM:SS YYYY',YYYYDDD}
@ATTRIBUTE keyword	{null,updated,date,created,posted,published,release,update,added,released,'last modified',create,publish,pubdate,pdate,revised,date-header,revise,datetime,geschrieben}
@ATTRIBUTE excatness	{3,5,6,4}
@ATTRIBUTE keyLoc201	{0.0,1.0}
@ATTRIBUTE keyLoc202	{0.0,1.0}
@ATTRIBUTE isKeyClass1	{0.0,1.0}
@ATTRIBUTE isKeyClass2	{0.0,1.0}
@ATTRIBUTE isKeyClass3	{0.0,1.0}

@DATA
11,http://classactiondefense.jmbm.com/2009/06/bofa_class_action_defense_case.html,1,1,1.0,1.0,1.0,0.0,0.0,0.0,0.036,0.04,1.0,1,2,0.967,1.0,0.0,STRONG,0.0,0.0,0.0,0.04,0.04,-1,1215,744,0,'MMMM DD, YYYY',posted,3,0.0,1.0,1.0,0.0,0.0
12,http://classactiondefense.jmbm.com/2009/06/bofa_class_action_defense_case.html,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.594,0.08,0.04,0,0,0.0,0.0,0.0,SPAN,0.0,0.0,0.0,0.04,0.04,113,242,0,167,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0.0,0.0,0.0,0.0,0.0
13,http://classactiondefense.jmbm.com/2009/06/bofa_class_action_defense_case.html,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.613,0.12,0.08,0,0,0.0,0.0,0.0,SPAN,0.0,0.0,0.0,0.04,0.04,242,169,167,166,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0.0,0.0,0.0,0.0,0.0
14,http://classactiondefense.jmbm.com/2009/06/bofa_class_action_defense_case.html,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.626,0.16,0.12,0,0,0.0,0.0,0.0,SPAN,0.0,0.0,0.0,0.04,0.04,169,209,166,671,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0.0,0.0,0.0,0.0,0.0
15,http://classactiondefense.jmbm.com/2009/06/bofa_class_action_defense_case.html,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.642,0.2,0.16,0,0,0.0,0.0,0.0,SPAN,0.0,0.0,0.0,0.04,0.04,209,182,0,168,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0.0,0.0,0.0,0.0,0.0
16,http://classactiondefense.jmbm.com/2009/06/bofa_class_action_defense_case.html,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.657,0.24,0.2,0,0,0.0,0.0,0.0,SPAN,0.0,0.0,0.0,0.12,0.04,182,166,168,0,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0.0,0.0,0.0,0.0,0.0
17,http://classactiondefense.jmbm.com/2009/06/bofa_class_action_defense_case.html,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.67,0.28,0.32,0,0,0.0,0.0,0.0,SPAN,0.0,0.0,0.0,0.12,0.04,166,195,168,0,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0.0,0.0,0.0,0.0,0.0
18,http://classactiondefense.jmbm.com/2009/06/bofa_class_action_defense_case.html,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.685,0.32,0.44,0,0,0.0,0.0,0.0,SPAN,0.0,0.0,0.0,0.12,0.04,195,156,169,0,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0.0,0.0,0.0,0.0,0.0
19,http://classactiondefense.jmbm.com/2009/06/bofa_class_action_defense_case.html,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.697,0.36,0.56,0,0,0.0,0.0,0.0,SPAN,0.0,0.0,0.0,0.12,0.04,156,202,0,0,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0.0,0.0,0.0,0.0,0.0
20,http://classactiondefense.jmbm.com/2009/06/bofa_class_action_defense_case.html,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.713,0.4,0.68,0,0,0.0,0.0,0.0,SPAN,0.0,0.0,0.0,0.12,0.04,202,205,165,0,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0.0,0.0,0.0,0.0,0.0
21,http://classactiondefense.jmbm.com/2009/06/bofa_class_action_defense_case.html,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.729,0.44,0.8,0,0,0.0,0.0,0.0,SPAN,0.0,0.0,0.0,0.12,0.04,205,600,172,0,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0.0,0.0,0.0,0.0,0.0
22,http://classactiondefense.jmbm.com/2009/06/bofa_class_action_defense_case.html,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.776,0.48,0.24,0,0,0.0,0.0,0.0,SPAN,0.0,0.0,0.0,0.12,0.04,600,166,0,0,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0.0,0.0,0.0,0.0,0.0
23,http://classactiondefense.jmbm.com/2009/06/bofa_class_action_defense_case.html,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.789,0.52,0.36,0,0,0.0,0.0,0.0,SPAN,0.0,0.0,0.0,0.12,0.04,166,195,0,0,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0.0,0.0,0.0,0.0,0.0
24,http://classactiondefense.jmbm.com/2009/06/bofa_class_action_defense_case.html,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.804,0.56,0.48,0,0,0.0,0.0,0.0,SPAN,0.0,0.0,0.0,0.12,0.04,195,156,0,0,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0.0,0.0,0.0,0.0,0.0
25,http://classactiondefense.jmbm.com/2009/06/bofa_class_action_defense_case.html,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.817,0.6,0.6,0,0,0.0,0.0,0.0,SPAN,0.0,0.0,0.0,0.12,0.04,156,202,0,0,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0.0,0.0,0.0,0.0,0.0
26,http://classactiondefense.jmbm.com/2009/06/bofa_class_action_defense_case.html,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.832,0.64,0.72,0,0,0.0,0.0,0.0,SPAN,0.0,0.0,0.0,0.12,0.04,202,205,0,0,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0.0,0.0,0.0,0.0,0.0
27,http://classactiondefense.jmbm.com/2009/06/bofa_class_action_defense_case.html,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.849,0.68,0.84,0,0,0.0,0.0,0.0,SPAN,0.0,0.0,0.0,0.12,0.04,205,216,0,0,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0.0,0.0,0.0,0.0,0.0
28,http://classactiondefense.jmbm.com/2009/06/bofa_class_action_defense_case.html,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.865,0.72,0.92,0,0,0.0,0.0,0.0,SPAN,0.0,0.0,0.0,0.08,0.04,216,97,0,0,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0.0,0.0,0.0,0.0,0.0
29,http://classactiondefense.jmbm.com/2009/06/bofa_class_action_defense_case.html,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.873,0.76,0.28,0,0,0.0,0.0,0.0,SPAN,0.0,0.0,0.0,0.12,0.04,97,166,0,168,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0.0,0.0,0.0,0.0,0.0
