classifier;roc-auc;accuracy
NbSvmLearner [learner=LibLinearLearner, vectorizer=TextVectorizer [TERM_FREQUENCY, IDF_MAX, alpha=0, FeatureSetting [1-2-WORD_NGRAMS, termLength=1-2147483647, language=ENGLISH]]];0.861760268585138;0.7656537385045982
TextVectorClassifier [learner=LibLinearLearner, vectorizer=TextVectorizer [LOG_NORMALIZATION, UNARY, alpha=0, FeatureSetting [1-2-WORD_NGRAMS, termLength=1-2147483647, language=ENGLISH]]];0.9613073701039039;0.9007197121151539
NbSvmLearner [learner=LibLinearLearner, vectorizer=TextVectorizer [LOG_NORMALIZATION, UNARY, alpha=0, FeatureSetting [1-2-WORD_NGRAMS, termLength=1-2147483647, language=ENGLISH]]];0.9695363581135333;0.9141943222710915
TextVectorClassifier [learner=LibLinearLearner, vectorizer=TextVectorizer [LOG_NORMALIZATION, IDF, alpha=0, FeatureSetting [1-2-WORD_NGRAMS, termLength=1-2147483647, language=ENGLISH]]];0.9634138257393994;0.9052778888444623
NbSvmLearner [learner=LibLinearLearner, vectorizer=TextVectorizer [LOG_NORMALIZATION, IDF, alpha=0, FeatureSetting [1-2-WORD_NGRAMS, termLength=1-2147483647, language=ENGLISH]]];0.9652328249400555;0.9056777289084367
TextVectorClassifier [learner=LibLinearLearner, vectorizer=TextVectorizer [LOG_NORMALIZATION, IDF_SMOOTH, alpha=0, FeatureSetting [1-2-WORD_NGRAMS, termLength=1-2147483647, language=ENGLISH]]];0.9629249176658701;0.9048380647740903
NbSvmLearner [learner=LibLinearLearner, vectorizer=TextVectorizer [LOG_NORMALIZATION, IDF_SMOOTH, alpha=0, FeatureSetting [1-2-WORD_NGRAMS, termLength=1-2147483647, language=ENGLISH]]];0.9653099344524388;0.9063974410235905
TextVectorClassifier [learner=LibLinearLearner, vectorizer=TextVectorizer [LOG_NORMALIZATION, IDF_MAX, alpha=0, FeatureSetting [1-2-WORD_NGRAMS, termLength=1-2147483647, language=ENGLISH]]];0.9401723741007187;0.878328668532587
NbSvmLearner [learner=LibLinearLearner, vectorizer=TextVectorizer [LOG_NORMALIZATION, IDF_MAX, alpha=0, FeatureSetting [1-2-WORD_NGRAMS, termLength=1-2147483647, language=ENGLISH]]];0.9563309736210925;0.8974010395841663
TextVectorClassifier [learner=LibLinearLearner, vectorizer=TextVectorizer [DOUBLE_NORMALIZATION, UNARY, alpha=0, FeatureSetting [1-2-WORD_NGRAMS, termLength=1-2147483647, language=ENGLISH]]];0.9633375475619154;0.9026389444222311
NbSvmLearner [learner=LibLinearLearner, vectorizer=TextVectorizer [DOUBLE_NORMALIZATION, UNARY, alpha=0, FeatureSetting [1-2-WORD_NGRAMS, termLength=1-2147483647, language=ENGLISH]]];0.9712062094324269;0.9156337465013994
TextVectorClassifier [learner=LibLinearLearner, vectorizer=TextVectorizer [DOUBLE_NORMALIZATION, IDF, alpha=0, FeatureSetting [1-2-WORD_NGRAMS, termLength=1-2147483647, language=ENGLISH]]];0.966837454836115;0.9088764494202319
NbSvmLearner [learner=LibLinearLearner, vectorizer=TextVectorizer [DOUBLE_NORMALIZATION, IDF, alpha=0, FeatureSetting [1-2-WORD_NGRAMS, termLength=1-2147483647, language=ENGLISH]]];0.9687740495603917;0.9109156337465014
TextVectorClassifier [learner=LibLinearLearner, vectorizer=TextVectorizer [DOUBLE_NORMALIZATION, IDF_SMOOTH, alpha=0, FeatureSetting [1-2-WORD_NGRAMS, termLength=1-2147483647, language=ENGLISH]]];0.9665134452437952;0.9083566573370652
NbSvmLearner [learner=LibLinearLearner, vectorizer=TextVectorizer [DOUBLE_NORMALIZATION, IDF_SMOOTH, alpha=0, FeatureSetting [1-2-WORD_NGRAMS, termLength=1-2147483647, language=ENGLISH]]];0.9685758721023162;0.9109156337465014
TextVectorClassifier [learner=LibLinearLearner, vectorizer=TextVectorizer [DOUBLE_NORMALIZATION, IDF_MAX, alpha=0, FeatureSetting [1-2-WORD_NGRAMS, termLength=1-2147483647, language=ENGLISH]]];0.9517214836131416;0.890563774490204
NbSvmLearner [learner=LibLinearLearner, vectorizer=TextVectorizer [DOUBLE_NORMALIZATION, IDF_MAX, alpha=0, FeatureSetting [1-2-WORD_NGRAMS, termLength=1-2147483647, language=ENGLISH]]];0.9639819408472949;0.9068772491003598
