# ** beijing	LOC
# ** believed	PER
# ** believes	PER
# ** benson	LOC
# ** between	LOC
# ** bill	PER
# ** biography	PER
# ** birthday	PER
# ** bissau	LOC
# ** board	LOC
# ** boasts	LOC
# ** bolivia	LOC
# ** border	LOC
# ** born	PER
# ** brazil	LOC
# ** brett	PER
# ** bridge	LOC
# ** broke	PER
# ** brother	PER
# ** brothers	PER
# ** bus	LOC
# ** bush	LOC
# ** calls	PER
# ** cambodia	LOC
# ** came	PER
# ** campaign	PER
# ** canada	LOC
# ** canal	LOC
# ** capital	LOC
# ** career	PER
# ** casino	LOC
# ** castle	LOC
# ** cbd	LOC
# ** cellular	LOC
# ** central	LOC
# ** character	PER
# ** china	LOC
# ** chinchwad	LOC
# ** chose	PER
# ** chris	PER
# ** circle	LOC
# ** city	LOC
# ** claimed	PER
# ** claims	PER
# ** climate	LOC
# ** coast	LOC
# ** code	LOC
# ** colombia	LOC
# ** comments	PER
# ** community	LOC
# ** concert	PER
# ** conference	LOC
# ** consists	LOC
# ** contains	LOC
# ** continued	PER
# ** convention	LOC
# ** council	LOC
# ** county	LOC
# ** court	LOC
# ** cruise	LOC
# ** cultural	LOC
# ** culture	LOC
# ** cup	LOC
# ** daily	LOC
# ** daughter	PER
# ** david	PER
# ** dead	PER
# ** deals	LOC
# ** death	PER
# ** decided	PER
# ** decision	PER
# ** defeated	PER
# ** del	LOC
# ** delhi	LOC
# ** delta	LOC
# ** denied	PER
# ** denmark	LOC
# ** department	LOC
# ** development	LOC
# ** did	PER
# ** didn't	PER
# ** died	PER
# ** directed	PER
# ** disease	LOC
# ** district	LOC
# ** divided	LOC
# ** doesn't	PER
# ** doing	PER
# ** dollar	LOC
# ** done	PER
# ** down	PER
# ** downtown	LOC
# ** earned	PER
# ** east	LOC
# ** eastern	LOC
# ** economy	LOC
# ** elected	PER
# ** election	PER
# ** embassy	LOC
# ** ended	PER
# ** enjoyed	PER
# ** entered	PER
# ** establishes	LOC
# ** europe	LOC
# ** eventually	PER
# ** expected	PER
# ** expedition	LOC
# ** explained	PER
# ** explains	PER
# ** expressed	PER
# ** faced	PER
# ** fair	LOC
# ** family	PER
# ** fan	PER
# ** fans	PER
# ** father	PER
# ** favre	PER
# ** films	PER
# ** final	PER
# ** finally	PER
# ** finished	PER
# ** former	PER
# ** forum	LOC
# ** foundation	PER
# ** gave	PER
# ** george	PER
# ** germany	LOC
# ** getting	PER
# ** ghana	LOC
# ** got	PER
# ** graduated	PER
# ** guide	LOC
# ** guinea	LOC
# ** had	PER
# ** he's	PER
# ** head	PER
# ** helped	PER
# ** henan	LOC
# ** henry	PER
# ** her	PER
# ** highway	LOC
# ** hilton	LOC
# ** him	PER
# ** himself	PER
# ** his	PER
# ** hit	PER
# ** hong	LOC
# ** hopes	PER
# ** hospital	LOC
# ** hotel	LOC
# ** hotels	LOC
# ** hungary	LOC
# ** ice	LOC
# ** include	LOC
# ** independence	LOC
# ** india	LOC
# ** industrial	LOC
# ** inn	LOC
# ** interview	PER
# ** intl	LOC
# ** invited	PER
# ** iran	LOC
# ** ireland	LOC
# ** island	LOC
# ** islands	LOC
# ** isn't	PER
# ** italy	LOC
# ** itself	LOC
# ** james	PER
# ** japan	LOC
# ** jewish	LOC
# ** jews	LOC
# ** john	PER
# ** joined	PER
# ** joins	PER
# ** jon	PER
# ** jr	PER
# ** kathy	PER
# ** kazakhstan	LOC
# ** kept	PER
# ** knew	PER
# ** knows	PER
# ** korea	LOC
# ** landed	PER
# ** largest	LOC
# ** later	PER
# ** latest	PER
# ** latin	LOC
# ** lead	PER
# ** led	PER
# ** left	PER
# ** legacy	PER
# ** liberia	LOC
# ** lies	LOC
# ** life	PER
# ** lived	PER
# ** local	LOC
# ** located	LOC
# ** lodge	LOC
# ** looked	PER
# ** lost	PER
# ** ltd	LOC
# ** made	PER
# ** mali	LOC
# ** mall	LOC
# ** map	LOC
# ** market	LOC
# ** married	PER
# ** medical	LOC
# ** met	PER
# ** metro	LOC
# ** metropolitan	LOC
# ** mexico	LOC
# ** michael	PER
# ** ministry	LOC
# ** minor	LOC
# ** missed	PER
# ** montréal	LOC
# ** monument	LOC
# ** morocco	LOC
# ** mother	PER
# ** moved	PER
# ** movie	PER
# ** movies	PER
# ** mumbai	LOC
# ** municipal	LOC
# ** name	PER
# ** namibia	LOC
# ** national	LOC
# ** natural	LOC
# ** near	LOC
# ** nepal	LOC
# ** never	PER
# ** niger	LOC
# ** nigeria	LOC
# ** north	LOC
# ** northern	LOC
# ** noted	PER
# ** nuclear	LOC
# ** ocean	LOC
# ** offered	PER
# ** offering	LOC
# ** offers	LOC
# ** oil	LOC
# ** oldest	LOC
# ** opera	LOC
# ** ordered	PER
# ** original	PER
# ** out	PER
# ** own	PER
# ** pacific	LOC
# ** pakistan	LOC
# ** paris	LOC
# ** passed	PER
# ** pennsylvania	LOC
# ** performance	PER
# ** personal	PER
# ** peru	LOC
# ** philippines	LOC
# ** phoenix	LOC
# ** pig	LOC
# ** pigs	LOC
# ** play	PER
# ** played	PER
# ** playing	PER
# ** plays	PER
# ** pledged	PER
# ** police	LOC
# ** population	LOC
# ** port	LOC
# ** posted	PER
# ** pp	PER
# ** presidency	PER
# ** presidential	PER
# ** press	LOC
# ** prime	PER
# ** prize	PER
# ** pro	PER
# ** promised	PER
# ** proposed	PER
# ** proved	PER
# ** province	LOC
# ** quebec	LOC
# ** queen	PER
# ** quotes	PER
# ** railway	LOC
# ** ran	PER
# ** realizes	LOC
# ** received	PER
# ** record	PER
# ** refused	PER
# ** regime	PER
# ** region	LOC
# ** regional	LOC
# ** released	PER
# ** rental	LOC
# ** repeatedly	PER
# ** replied	PER
# ** reportedly	PER
# ** republic	LOC
# ** reserve	LOC
# ** residents	LOC
# ** responded	PER
# ** retired	PER
# ** return	PER
# ** returned	PER
# ** returns	PER
# ** revealed	PER
# ** reviews	LOC
# ** richard	PER
# ** rio	LOC
# ** river	LOC
# ** role	PER
# ** roman	LOC
# ** route	LOC
# ** russia	LOC
# ** safari	LOC
# ** said	PER
# ** sat	PER
# ** saying	PER
# ** says	PER
# ** scored	PER
# ** sea	LOC
# ** secretary	PER
# ** seemed	PER
# ** sent	PER
# ** served	PER
# ** service	LOC
# ** set	PER
# ** shanghai	LOC
# ** shared	PER
# ** sheriff's	LOC
# ** shopping	LOC
# ** show	PER
# ** showed	PER
# ** sichuan	LOC
# ** sind	LOC
# ** singapore	LOC
# ** situated	LOC
# ** skyline	LOC
# ** small	LOC
# ** son	PER
# ** sortieren	LOC
# ** sought	PER
# ** south	LOC
# ** southern	LOC
# ** speaks	PER
# ** speech	PER
# ** spent	PER
# ** spoke	PER
# ** sprouts	LOC
# ** star	PER
# ** starred	PER
# ** stars	PER
# ** state	LOC
# ** stated	PER
# ** station	LOC
# ** stations	LOC
# ** story	PER
# ** street	LOC
# ** stressed	PER
# ** strips)	LOC
# ** studied	PER
# ** sudan	LOC
# ** supported	PER
# ** supporters	PER
# ** switzerland	LOC
# ** sworn	PER
# ** system	LOC
# ** taiwan	LOC
# ** talks	PER
# ** tanzania	LOC
# ** tells	PER
# ** temple	LOC
# ** territory	LOC
# ** texas	LOC
# ** thailand	LOC
# ** them	PER
# ** thought	PER
# ** tickets	PER
# ** times	LOC
# ** told	PER
# ** took	PER
# ** tourism	LOC
# ** tourist	LOC
# ** tours	LOC
# ** town	LOC
# ** trade	LOC
# ** train	LOC
# ** transport	LOC
# ** travel	LOC
# ** tried	PER
# ** turkey	LOC
# ** turned	PER
# ** tx	LOC
# ** unaware	LOC
# ** uns	LOC
# ** uruguay	LOC
# ** valley	LOC
# ** vegetarian	LOC
# ** venezuela	LOC
# ** victory	PER
# ** visa	LOC
# ** visited	PER
# ** wanted	PER
# ** wants	PER
# ** was	PER
# ** wasn't	PER
# ** water	LOC
# ** weather	LOC
# ** went	PER
# ** west	LOC
# ** where	LOC
# ** who	PER
# ** whose	PER
# ** wife	PER
# ** wildlife	LOC
# ** win	PER
# ** wins	PER
# ** won	PER
# ** won't	PER
# ** worked	PER
# ** would	PER
# ** writes	PER
# ** written	PER
# ** wrote	PER
# ** zoo	LOC
# abdul **	PER
# accommodation **	LOC
