lt	0	27	0.0
lz	0	2	0.0
ramparts	5	0	Infinity
ly	1	0	Infinity
institutis	0	1	0.0
squeezes	1	0	Infinity
o"	1	0	Infinity
kanwar	0	1	0.0
jones's	0	2	0.0
mc	2	19	0.10526315789473684
shubao's	0	1	0.0
md	0	18	0.0
ma	1	69	0.014492753623188406
mb	1	7	0.14285714285714285
mg	6	10	0.6
dž	1	0	Infinity
mh	0	3	0.0
bestowal	1	0	Infinity
me	121	81	1.4938271604938271
mf	0	1	0.0
mk	0	7	0.0
ml	2	3	0.6666666666666666
mi	3	13	0.23076923076923078
mj	0	11	0.0
transfermarkt	0	2	0.0
mn	0	5	0.0
mm	21	1	21.0
mp	0	50	0.0
seventeen	24	1	24.0
mo	1	11	0.09090909090909091
mr	1	129	0.007751937984496124
mq	0	1	0.0
collected	65	4	16.25
mt	0	26	0.0
ms	5	29	0.1724137931034483
beautified	1	1	1.0
pernand-vergelesses	0	1	0.0
mv	2	4	0.5
mu	0	4	0.0
mx	0	7	0.0
cree	1	2	0.5
mw	0	12	0.0
my	89	127	0.7007874015748031
jacobite	0	9	0.0
o?	0	1	0.0
p"	0	1	0.0
na	13	11	1.1818181818181819
nb	0	1	0.0
creg	0	1	0.0
nc	0	6	0.0
warki	0	1	0.0
nd	2	1	2.0
ne	6	5	1.2
ng	3	9	0.3333333333333333
pondicherry	0	3	0.0
nh	0	5	0.0
ni	5	3	1.6666666666666667
fliegergruppe	0	1	0.0
nj	0	21	0.0
nk	0	2	0.0
nl	0	5	0.0
nm	2	2	1.0
jx	0	2	0.0
a-tournament	0	1	0.0
jy	0	1	0.0
jv	0	5	0.0
hellas	0	3	0.0
jw	0	2	0.0
jt	0	1	0.0
ju	0	2	0.0
redoutable-class	0	1	0.0
jr	2	130	0.015384615384615385
js	0	13	0.0
jp	0	11	0.0
jn	0	2	0.0
jo	1	9	0.1111111111111111
jl	0	8	0.0
jm	0	10	0.0
froma	0	1	0.0
linux-related	0	1	0.0
jj	0	3	0.0
fatigue	11	0	Infinity
variations	29	7	4.142857142857143
jk	0	5	0.0
kj	0	4	0.0
figueira	0	1	0.0
perdue	0	1	0.0
ki	2	5	0.4
warns	11	0	Infinity
drummond	0	4	0.0
kh	2	1	2.0
kg	11	5	2.2
high-definition	3	0	Infinity
kf	0	2	0.0
ke	2	9	0.2222222222222222
muricidae	0	1	0.0
m'	1	0	Infinity
kd	0	5	0.0
blackface	0	1	0.0
kc	0	2	0.0
kb	3	6	0.5
ka	3	8	0.375
conservatives	3	14	0.21428571428571427
contexts	8	1	8.0
aga-m	1	0	Infinity
fù	1	0	Infinity
scooter	2	1	2.0
chamfort	0	1	0.0
warne	0	3	0.0
kw	2	1	2.0
ky	0	8	0.0
ks	2	1	2.0
kt	0	1	0.0
kv	2	1	2.0
ko	0	2	0.0
kp	2	3	0.6666666666666666
kk	0	6	0.0
watson,michael	0	1	0.0
lynne	0	6	0.0
km	27	4	6.75
li	1	27	0.037037037037037035
spyware	2	0	Infinity
warms	2	0	Infinity
lse: ihg	0	1	0.0
lh	0	16	0.0
lk	0	4	0.0
lj	0	7	0.0
le	20	69	0.2898550724637681
death-shriek	1	0	Infinity
hà	0	1	0.0
lg	0	5	0.0
