#000000;Black;Black
#000080;Navy Blue;Blue
#00008B;Dark Blue;Blue
#0000C8;Dark Blue;Blue
#0000CD;Medium Blue;Blue
#0000FF;Blue;Blue
#002387;Resolution Blue;Blue
#002FA7;International Klein Blue;Blue
#003153;Prussian Blue;Blue
#003366;Midnight Blue;Blue
#004620;Kaitoke Green;Green
#004950;Sherpa Blue;Blue
#006400;dark green;Green
#0066CC;Science Blue;Blue
#0066FF;Blue Ribbon;Blue
#008000;Green;Green
#008080;Teal;Cyan
#008B8B;Dark Cyan;Cyan
#0095B6;Bondi Blue;Blue
#009DC4;Pacific Blue;Blue
#00A693;Persian Green;Green
#00BFFF;Deep Sky Blue;Blue
#00CC99;Caribbean Green;Green
#00CCCC;Robin's Egg Blue;Blue
#00CED1;Dark Turquoise;Cyan
#00FA9A;Medium Spring Green;Green
#00FF00;Lime Green;Green
#00FF7F;Spring Green;Green
#00FFFF;Aqua;Cyan
#01361C;Cardin Green;Green
#01371A;County Green;Green
#013E62;Astronaut Blue;Blue
#013F6A;Regal Blue;Blue
#016D39;Fun Green;Green
#01796F;Pine Green;Green
#02402C;Sherwood Green;Green
#02478E;Congress Blue;Blue
#026395;Bahama Blue;Blue
#044259;Teal Blue;Blue
#051657;Gulf Blue;Blue
#055989;Venice Blue;Blue
#062A78;Catalina Blue;Blue
#088370;Elf Green;Green
#09230F;Palm Green;Green
#093624;Bottle Green;Green
#095859;Deep Sea Green;Green
#0B1107;Gordons Green;Green
#0C1911;Racing Green;Green
#0C7A79;Surfie Green;Green
#13264D;Blue Zodiac;Blue
#1450AA;Tory Blue;Blue
#161D10;Hunter Green;Green
#16322C;Timber Green;Green
#163531;Gray Blue;Blue
#175579;Chathams Blue;Blue
#182D09;Deep Forest Green;Green
#191970;midnight blue;Blue
#193751;Nile Blue;Blue
#1959A8;Fun Blue;Blue
#1C1E13;Gray;Gray
#1C39BB;Persian Blue;Blue
#1D6142;Green Pea;Green
#1E433C;Te Papa Green;Green
#1E90FF;Dodger Blue;Blue
#1E9AB0;Eastern Blue;Blue
#20B2AA;light sea green;Green
#220878;Deep Blue;Blue
#228B22;Forest Green;Green
#240A40;Violet;Purple
#242E16;Black Olive;Green
#251706;Cannon Black;Black
#2596D1;Curious Blue;Blue
#262335;Steel Gray;Gray
#29AB87;Jungle Green;Green
#2A380B;Turtle Green;Green
#2A52BE;Cerulean Blue;Blue
#2B0202;Sepia Black;Black
#2E8B57;Sea Green;Green
#2F4F4F;Dark Slate Gray;Gray
#32CD32;Lime Green;Green
#384555;Oxford Blue;Blue
#3B91B4;Boston Blue;Blue
#3C493A;Lunar Green;Green
#3CB371;Medium Sea green;Green
