die	Eisenbahn	die	Eisenbahnen
der	Wald	die	Wälder
der	Maulwurf	die	Maulwürfe
die	Spielbank	die	Spielbanken
der	Keks <br /> das Keks	die	Kekse
die	Milbe	die	Milben
der	Achat	die	Achate
die	Pappel	die	Pappeln
die	Algebra	die	Algebren
die	Benachrichtigung	die	Benachrichtigungen
der	Pkw	die	Pkw(s)
das	Bierzelt	die	Bierzelte
das	Luftfahrzeug	die	Luftfahrzeuge
das	Olfaktorius	die	Olfaktorien
der	Wolkenkratzer	die	Wolkenkratzer
der	Emeritus	die	Emeriti
der	Bönhase	die	Bönhasen
der	Fuchs	die	Füchse
der	Löwe	die	Löwen
der	Monat	die	Monate
die	Mücke	die	Mücken
das	Sanatorium	die	Sanatorien
der	Mückenstich	die	Mückenstiche
der	Heckmeck	die	Heckmecks
der	Anachronismus	die	Anachronismen
die	Biene	die	Bienen
der	Rechtsanwalt	die	Rechtsanwälte
die	Abtreibung	die	Abtreibungen
die	Osmose	die	Osmosen
die	Attitüde	die	Attitüden
das	Handy	die	Handys
der	Japaner	die	Japaner
die	Konvulsion	die	Konvulsionen
der	Karthager	die	Karthager
die	Melancholie	die	Melancholien
der	Inuk	die	Inuit
der	Kantianer	die	Kantianer
der	Gaul	die	Gäule
die	Mähre	die	Mähren
die	Stute	die	Stuten
der	Hengst	die	Hengste
die	Akazie	die	Akazien
die	Steilküste	die	Steilküsten
das	Öl	die	Öle
der	Teilchenbeschleuniger	die	Teilchenbeschleuniger
der	Kaulbarsch	die	Kaulbarsche
das	Bratöl	die	Bratöle
das	Krankenhaus	die	Krankenhäuser
der	Stahl	die	Stähle
der	Schrank	die	Schränke
die	Akne	die	Aknen
die	Gabel	die	Gabeln
das	Bett	die	Betten
die	Kohle	die	Kohlen
das	Akronym	die	Akronyme
der	Ablass	die	Ablässe
der	Despot	die	Despoten
das	Dessous	die	Dessous
die	Deregulierung	die	Deregulierungen
das	Gewitter	die	Gewitter
die	Fluggesellschaft	die	Fluggesellschaften
die	Zelle	die	Zellen
das	Baby	die	Babys
das	Cabrio	die	Cabrios
der	Daumen	die	Daumen
das	Auge	die	Augen
das	Macramé	die	Macramés
das	Makramee	die	Makramees
die	Nase	die	Nasen
der	Umschlag	die	Umschläge
der	Springer	die	Springer
der	Schimmel	die	Schimmel
das	Paket	die	Pakete
der	Rappe	die	Rappen
die	Kirchenmaus	die	Kirchenmäuse
das	Eingabegerät	die	Eingabegeräte
die	Tastatur	die	Tastaturen
die	Computertastatur	die	Computertastaturen
die	Frau	die	Frauen
die	Sprache	die	Sprachen
das	Grundstück	die	Grundstücke
der	Planet	die	Planeten
der	Arm	die	Arme
die	Zahl	die	Zahlen
die	Ziffer	die	Ziffern
die	Primzahl	die	Primzahlen
das	Produkt	die	Produkte
die	Mirpzahl	die	Mirpzahlen
die	Nummer	die	Nummern
die	Myriade	die	Myriaden
die	Wurzel	die	Wurzeln
die	Schnapszahl	die	Schnapszahlen
die	Potenz	die	Potenzen
die	Stelle	die	Stellen
die	Mantisse	die	Mantissen
die	Binärzahl	die	Binärzahlen
der	Barzahler	die	Barzahler
der	Quotient	die	Quotienten
die	Wissenschaft	die	Wissenschaften
der	Saft	die	Säfte
die	Besonderheit	die	Besonderheiten
der	Brief	die	Briefe
die	Industrie	die	Industrien
die	Tasche	die	Taschen
der	Schnaps	die	Schnäpse
der	Blitz	die	Blitze
das	Unternehmen	die	Unternehmen
die	Aktiengesellschaft	die	Aktiengesellschaften
das	Himmelfahrtskommando	die	Himmelfahrtskommandos
das	Einzelunternehmen	die	Einzelunternehmen
die	Einzelunternehmung	die	Einzelunternehmungen
das	Sehrohr	die	Sehrohre
der	Bankraub	die	Bankraube
die	Aktie	die	Aktien
der	Atomkrieg	die	Atomkriege
der	Wandelstern	die	Wandelsterne
der	Stern	die	Sterne
das	Schlachtschiff	die	Schlachtschiffe
die	Wanze	die	Wanzen
der	Geburtsort	die	Geburtsorte
die	Vergangenheit	die	Vergangenheiten
der	Drache	die	Drachen
die	Bankleitzahl	die	Bankleitzahlen
der	Helm	die	Helme
das	Sternbild	die	Sternbilder
die	Waschmaschine	die	Waschmaschinen
die	Geburt	die	Geburten
der	Klapperstorch	die	Klapperstörche
der	Vogel	die	Vögel
der	Flugzeugträger	die	Flugzeugträger
die	Galeere	die	Galeeren
das	Winkeldeck	die	Winkeldecks
die	Sonne	die	Sonnen
die	Frage	die	Fragen
das	Ei	die	Eier
die	Birne	die	Birnen
der	Mund	die	Münder
der	Joint	die	Joints
der	Stimulus	die	Stimuli
die	Politik	die	Politiken
der	Schraubenzieher	die	Schraubenzieher
das	Borosilikatglas	die	Borosilikatgläser
das	Individuum	die	Individuen
der	Zug	die	Züge
der	Rechner	die	Rechner
der	Blitzkrieg	die	Blitzkriege
das	Photon	die	Photonen
das	Messer	die	Messer
der	Löffel	die	Löffel
die	Art	die	Arten
der	Stöpsel	die	Stöpsel
der	Regen	die	Regen
der	Stuhl	die	Stühle
das	Haar	die	Haare
das	Leben	die	Leben
die	Person	die	Personen
die	Alternative	die	Alternativen
der	Anfang	die	Anfänge
der	Angeber	die	Angeber
die	Ausflucht	die	Ausflüchte
die	Bergbaude	die	Bergbauden
der	Bürgerkrieg	die	Bürgerkriege
die	Daumenregel	die	Daumenregeln
